sex,lhd,financial year,"rate per 100,000 population"
Females,Northern NSW,2018/2019,5.7
Females,Northern NSW,2019/2020,4.7
Females,Northern NSW,2020/2021,3.3
Females,Mid North Coast,2011/2012,10.6
Females,Mid North Coast,2012/2013,10.5
Females,Mid North Coast,2013/2014,6.8
Females,Mid North Coast,2014/2015,8.5
Females,Mid North Coast,2015/2016,6.7
Females,Mid North Coast,2016/2017,6.7
Females,Mid North Coast,2017/2018,8.7
Females,Mid North Coast,2018/2019,9.1
Females,Mid North Coast,2019/2020,8.7
Females,Mid North Coast,2020/2021,5.3
Females,Southern NSW,2011/2012,8.7
Females,Southern NSW,2012/2013,8.7
Females,Southern NSW,2013/2014,9.9
Females,Southern NSW,2014/2015,8.8
Females,Southern NSW,2015/2016,8.6
Females,Southern NSW,2016/2017,13.3
Females,Southern NSW,2017/2018,11.3
Females,Southern NSW,2018/2019,9.5
Females,Southern NSW,2019/2020,8.0
Females,Southern NSW,2020/2021,3.9
Females,Murrumbidgee,2011/2012,9.3
Females,Murrumbidgee,2012/2013,9.2
Females,Murrumbidgee,2013/2014,8.8
Females,Murrumbidgee,2014/2015,8.6
Females,Murrumbidgee,2015/2016,7.4
Females,Murrumbidgee,2016/2017,7.9
Females,Murrumbidgee,2017/2018,8.7
Females,Murrumbidgee,2018/2019,9.2
Females,Murrumbidgee,2019/2020,8.0
Females,Murrumbidgee,2020/2021,5.8
Females,Western NSW,2011/2012,9.4
Females,Western NSW,2012/2013,7.7
Females,Western NSW,2013/2014,5.8
Females,Western NSW,2014/2015,8.7
Females,Western NSW,2015/2016,12.2
Females,Western NSW,2016/2017,14.8
Females,Western NSW,2017/2018,11.5
Females,Western NSW,2018/2019,11.9
Females,Western NSW,2019/2020,9.8
Females,Western NSW,2020/2021,4.8
