financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [rate per 100,000]"
2017/2018,Western NSW,0.0014019342613679,0.0553019346937642,0.25163134249543,2.346973277752733,,,1.25,539.9
2018/2019,Western NSW,0.0,0.1522267370239259,0.2743650402431547,2.263526653733468,,,1.2999999999999998,553.1
2019/2020,Western NSW,0.0058579926380595,0.1899262100345896,0.301065971059534,2.411665509278862,,,1.325,516.3
2020/2021,Western NSW,0.0103420079623594,0.0815916135094641,0.2400020579430331,2.122618691985908,,,1.25,551.8
2021/2022,Western NSW,0.0001763541838688,0.0753889805734898,0.1831141956966949,2.009218071334292,,,1.1625,561.8
2022/2023,Western NSW,0.0023917599925768,0.0613728081434918,0.2127970710773593,2.0815591091963315,,,1.075,600.8
2023/2024,Western NSW,0.0,0.0564140597681302,0.2609618897930771,2.2587677475433527,,,0.9875,458.45
2014/2015,Western Sydney,0.1789543093431714,0.8156642290241426,0.9268278358769244,1.726750657405119,,0.0662167011808737,0.9,316.1
2015/2016,Western Sydney,0.1450837070685877,0.6526738370731023,0.9324067161918684,1.6838826890949816,,0.0715873069288914,1.0,310.9
2016/2017,Western Sydney,0.1568603580678663,0.6739796404859272,0.8885685314400931,1.716075034810478,,0.0729424697266244,1.025,304.2
2017/2018,Western Sydney,0.1534180006228541,0.8357283342606058,0.8860084425902278,1.8469216704227835,,0.073144010857811,0.9,268.5
2018/2019,Western Sydney,0.1606958545242238,0.8019438334612193,0.9008274649729348,1.81470410196044,,0.0784810965218163,0.725,269.2
2019/2020,Western Sydney,0.2138610798068675,0.8104726588695504,0.7734344862100935,1.9835044504180688,,0.0954708593251847,0.675,224.7
2020/2021,Western Sydney,0.1875,0.68125,0.75625,1.7208333333333332,,0.0710530862658788,0.65,187.3
2021/2022,Western Sydney,0.1541666666666666,0.5791666666666667,0.6958333333333333,1.6,,0.0341562975645885,0.65,186.1
2022/2023,Western Sydney,0.1316096600873078,0.6853534780300429,0.6975207771494528,1.6329238230066805,,0.0567402501103272,0.65,215.7
2023/2024,Western Sydney,0.1216425451920328,0.6044902620626927,0.840359764763215,1.740042571721771,,0.0917125084292089,0.65,215.7
