financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children]
2010/2011,Mid North Coast,,0.1266666666666666,0.2883333333333334,1.569491525423729,,0.045,,,,166.5,144.4,8.3
2011/2012,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,0.95,,,180.8,122.2,9.25
2012/2013,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,1.0499999999999998,,,157.7,155.3,13.75
2013/2014,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,0.975,,,205.6,135.7,17.950000000000003
2014/2015,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,0.75,495.6,478.8,168.5,167.6,19.1
2015/2016,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,0.55,487.5,517.4,136.0,145.2,16.700000000000003
2016/2017,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,0.425,462.2,511.6,179.2,167.8,13.05
2017/2018,Mid North Coast,,0.1266666666666666,0.2883333333333334,1.569491525423729,,0.045,0.525,422.3,471.1,137.7,169.5,11.85
2018/2019,Mid North Coast,,0.1699999999999999,0.24125,1.6271186440677967,,0.00875,0.725,477.4,429.7,150.6,139.0,
2019/2020,Mid North Coast,,0.1,0.3,1.75,,0.0,0.85,493.9,409.8,120.5,124.2,
2020/2021,Mid North Coast,,0.125,0.3,1.725,,0.0,0.85,360.6,324.7,80.5,86.2,
2021/2022,Mid North Coast,,,,,,,,384.8,334.9,64.2,88.2,
2022/2023,Mid North Coast,,,,,,,,447.9,330.1,,,
2023/2024,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.2999999999999998,,0.0,,,,,,
2000/2001,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,24.18018018018018,0.0651162790697674,,,,,,
2001/2002,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,21.92252252252252,0.0651162790697674,,,,267.9,228.8,
2002/2003,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,27.55,0.0651162790697674,,,,231.0,187.4,
2003/2004,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,23.385714285714283,0.0651162790697674,,,,262.2,199.2,15.15
2004/2005,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,21.33719433719434,0.0651162790697674,,,,231.6,219.0,15.1
2005/2006,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,20.8,0.0651162790697674,,,,235.3,247.2,16.2
2006/2007,Murrumbidgee,,0.1666666666666666,0.4333333333333333,1.9666666666666668,33.61666666666667,0.1,,,,210.8,185.1,17.049999999999997
2007/2008,Murrumbidgee,,0.1265845070422535,0.3818075117370892,1.9375,25.83502252252252,0.0412790697674418,,,,191.5,195.3,16.45
2008/2009,Murrumbidgee,,,,,,,,,,207.2,210.7,16.299999999999997
2009/2010,Murrumbidgee,,0.1,0.2,2.15,18.425,0.025,,,,193.4,189.4,16.95
2010/2011,Murrumbidgee,,0.1714285714285714,0.1857142857142857,1.842857142857143,13.857142857142858,0.0235880398671096,,,,212.3,216.4,17.05
2011/2012,Murrumbidgee,,0.2025352112676056,0.2308920187793427,1.88,24.18018018018018,0.06,0.9,,,213.1,238.7,16.4
2012/2013,Murrumbidgee,,0.1,0.4111111111111111,1.911111111111111,24.18018018018018,0.0777777777777777,0.9,,,220.8,214.8,16.0
2013/2014,Murrumbidgee,,0.0111111111111111,0.4333333333333333,2.1222222222222222,24.18018018018018,0.0888888888888888,0.925,,,261.7,218.7,18.0
2014/2015,Murrumbidgee,,0.0,0.3222222222222222,2.092558613659531,24.18018018018018,0.0555555555555555,0.975,652.8,618.8,221.0,189.1,21.3
2015/2016,Murrumbidgee,,0.0555555555555555,0.3888888888888889,1.9444444444444444,24.18018018018018,0.0888888888888888,1.05,668.1,651.0,193.9,177.4,23.8
2016/2017,Murrumbidgee,,0.05,0.3399999999999999,2.03,24.18018018018018,0.06,1.2000000000000002,749.9,729.6,248.7,198.5,24.05
2017/2018,Murrumbidgee,,0.0857142857142857,0.3428571428571428,2.0428571428571427,24.18018018018018,0.0857142857142857,1.3250000000000002,653.7,557.8,226.9,163.7,21.7
2018/2019,Murrumbidgee,,0.1,0.375,1.925,24.18018018018018,0.125,1.425,670.5,501.0,229.5,155.8,
2019/2020,Murrumbidgee,,0.1,0.3,1.7,24.18018018018018,0.0,1.425,640.3,478.0,179.1,110.5,
2020/2021,Murrumbidgee,,0.1,0.3,1.925,24.18018018018018,0.05,1.35,607.9,458.9,143.2,93.6,
2021/2022,Murrumbidgee,,,,,,,,582.8,463.2,191.0,103.4,
2022/2023,Murrumbidgee,,,,,,,,761.7,651.8,,,
2023/2024,Murrumbidgee,,0.1,0.4,1.6,24.18018018018018,0.1,,,,,,
2000/2001,Nepean Blue Mountains,,0.24375,0.66875,1.975,17.033688210415015,0.069174537968552,,,,,,
2001/2002,Nepean Blue Mountains,,0.3125,0.6375,1.8762412891986064,16.395737179487178,0.0375,,,,156.1,161.1,
2002/2003,Nepean Blue Mountains,,0.525,0.8,1.8,15.95,0.05,,,,140.8,134.7,
2003/2004,Nepean Blue Mountains,,0.3571428571428571,0.7214285714285714,1.8928571428571428,18.45941391941392,0.0214285714285714,,,,133.2,135.2,15.95
