financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2016/2017,Northern Sydney,0.1132573860215615,0.3958824470818849,0.754349541985026,1.7410649430257357,15.583333333333334,0.0554261765435161,215.5,243.2,120.2,87.0,12.1,14.0,109.3,112.2,11.9,10.5,261.8,319.8
2017/2018,Northern Sydney,0.1174436966354733,0.3465684102802419,0.7050039057708536,1.900933446795493,16.85833333333333,0.0642023180463208,195.6,216.7,103.35,72.675,11.0,12.2,102.9,115.4,11.1,11.5,306.0,382.4
2018/2019,Northern Sydney,0.1247901819063662,0.3943800043868485,0.796590489789288,1.84193509761149,17.804467791797226,0.0787792046407356,195.0,223.0,112.875,91.25,10.1,11.0,93.4,115.8,9.1,9.5,302.4,357.5
2019/2020,Northern Sydney,0.1515046416434035,0.3617259462366102,0.790532653212058,1.9039854463166184,18.07867787611817,0.0511490542063241,169.1,183.5,101.3,73.15,8.8,11.0,78.9,95.9,8.2,7.8,288.3,338.1
2020/2021,Northern Sydney,0.1615863119551559,0.3998543122946896,0.6682189279615449,1.693535649157088,14.694858694853538,0.0273589771718528,129.6,146.1,74.8,58.55,7.9,11.5,58.1,66.3,5.7,6.3,136.4,182.5
2021/2022,Northern Sydney,0.1778749958827964,0.345696853611455,0.5712747605145129,1.6861096472826604,12.78593803025615,0.0202101861826431,119.7,131.2,61.275000000000006,54.4,9.325,13.7,56.1,65.5,6.025,6.85,154.975,207.375
2022/2023,Northern Sydney,0.025,0.5038994626179583,0.6445999278563771,1.7003278540149631,11.92303910768833,0.0482046922899958,146.9,163.4,78.76666666666667,69.325,10.75,15.9,87.93333333333334,128.73333333333332,6.35,7.4,173.55,232.25
2023/2024,Northern Sydney,0.0375,0.467736610646612,0.727352407772408,1.7236518872195166,14.848149921672237,0.0666212829732527,213.15,235.9,96.25833333333333,84.25,12.175,18.1,119.76666666666668,191.96666666666664,6.675,7.95,192.125,257.125
2014/2015,South Eastern Sydney,0.2476225706957298,2.9836949880926364,1.422863153287438,1.3380543932524065,18.9,0.112179722928364,279.4,308.4,112.825,84.725,13.6,20.3,123.3,154.2,7.0,8.5,251.1,309.0
2015/2016,South Eastern Sydney,0.2603608340896711,3.0797308700945063,1.467131480703206,1.3105384625631342,18.191666666666663,0.1175275043926099,253.3,274.9,113.7,73.475,14.1,18.1,125.6,150.1,5.9,8.5,231.1,291.4
