sex,lhd,financial year,"rate per 100,000 population"
Males,Mid North Coast,2014/2015,303.9
Males,Mid North Coast,2015/2016,355.1
Males,Mid North Coast,2016/2017,331.8
Males,Mid North Coast,2017/2018,313.1
Males,Mid North Coast,2018/2019,264.9
Males,Mid North Coast,2019/2020,242.3
Males,Mid North Coast,2020/2021,181.9
Males,Mid North Coast,2021/2022,177.7
Males,Southern NSW,2001/2002,356.9
Males,Southern NSW,2002/2003,357.4
Males,Southern NSW,2003/2004,337.1
Males,Southern NSW,2004/2005,342.5
Males,Southern NSW,2005/2006,286.6
Males,Southern NSW,2006/2007,260.6
Males,Southern NSW,2007/2008,266.5
Males,Southern NSW,2008/2009,246.3
Males,Southern NSW,2009/2010,287.6
Males,Southern NSW,2010/2011,307.8
Males,Southern NSW,2011/2012,336.3
Males,Southern NSW,2012/2013,294
Males,Southern NSW,2013/2014,249.9
Males,Southern NSW,2014/2015,267
Males,Southern NSW,2015/2016,289.5
Males,Southern NSW,2016/2017,308.4
Males,Southern NSW,2017/2018,353.1
Males,Southern NSW,2018/2019,315.8
Males,Southern NSW,2019/2020,272.4
Males,Southern NSW,2020/2021,230
Males,Southern NSW,2021/2022,190.1
Males,Murrumbidgee,2001/2002,634.5
Males,Murrumbidgee,2002/2003,696.5
Males,Murrumbidgee,2003/2004,726.4
Males,Murrumbidgee,2004/2005,677
Males,Murrumbidgee,2005/2006,567.4
Males,Murrumbidgee,2006/2007,466.1
Males,Murrumbidgee,2007/2008,537.2
Males,Murrumbidgee,2008/2009,446.9
Males,Murrumbidgee,2009/2010,435.1
Males,Murrumbidgee,2010/2011,454.3
Males,Murrumbidgee,2011/2012,428.5
Males,Murrumbidgee,2012/2013,405.5
Males,Murrumbidgee,2013/2014,409.9
Males,Murrumbidgee,2014/2015,420.6
Males,Murrumbidgee,2015/2016,429.9
Males,Murrumbidgee,2016/2017,431
Males,Murrumbidgee,2017/2018,431.7
Males,Murrumbidgee,2018/2019,432.1
Males,Murrumbidgee,2019/2020,395.6
Males,Murrumbidgee,2020/2021,297.5
Males,Murrumbidgee,2021/2022,241.4
Males,Western NSW,2001/2002,580.2
Males,Western NSW,2002/2003,592.7
Males,Western NSW,2003/2004,563.3
Males,Western NSW,2004/2005,574.6
Males,Western NSW,2005/2006,551.9
Males,Western NSW,2006/2007,444.5
Males,Western NSW,2007/2008,478.9
Males,Western NSW,2008/2009,544.7
Males,Western NSW,2009/2010,483.9
Males,Western NSW,2010/2011,410.1
Males,Western NSW,2011/2012,409.7
Males,Western NSW,2012/2013,416.4
Males,Western NSW,2013/2014,374.1
Males,Western NSW,2014/2015,376.1
Males,Western NSW,2015/2016,375.6
Males,Western NSW,2016/2017,380.9
Males,Western NSW,2017/2018,391.3
Males,Western NSW,2018/2019,320.3
Males,Western NSW,2019/2020,346.5
Males,Western NSW,2020/2021,274.3
Males,Western NSW,2021/2022,225.6
Males,Far West,2001/2002,362.2
Males,Far West,2002/2003,550
Males,Far West,2003/2004,600.9
Males,Far West,2004/2005,480.7
Males,Far West,2005/2006,578.4
Males,Far West,2006/2007,519.4
Males,Far West,2007/2008,389.2
Males,Far West,2008/2009,453.8
Males,Far West,2009/2010,435.5
Males,Far West,2010/2011,588
Males,Far West,2011/2012,614.3
Males,Far West,2012/2013,489.5
Males,Far West,2013/2014,463.7
Males,Far West,2014/2015,536.3
Males,Far West,2015/2016,582.4
Males,Far West,2016/2017,592.3
Males,Far West,2017/2018,542.7
Males,Far West,2018/2019,564.4
Males,Far West,2019/2020,455.7
Males,Far West,2020/2021,476.2
Males,Far West,2021/2022,394.4
Females,Sydney,2001/2002,161
Females,Sydney,2002/2003,150.9
Females,Sydney,2003/2004,176
Females,Sydney,2004/2005,150.3
Females,Sydney,2005/2006,137.7
Females,Sydney,2006/2007,148.3
Females,Sydney,2007/2008,163.6
Females,Sydney,2008/2009,171.8
Females,Sydney,2009/2010,168.3
Females,Sydney,2010/2011,133.5
Females,Sydney,2011/2012,150.3
Females,Sydney,2012/2013,153.6
Females,Sydney,2013/2014,149.1
Females,Sydney,2014/2015,148.7
Females,Sydney,2015/2016,136.8
Females,Sydney,2016/2017,150.4
Females,Sydney,2017/2018,149.2
Females,Sydney,2018/2019,162.2
Females,Sydney,2019/2020,146.6
Females,Sydney,2020/2021,80.5
Females,Sydney,2021/2022,67.8
Females,South Western Sydney,2001/2002,222.3
Females,South Western Sydney,2002/2003,221
Females,South Western Sydney,2003/2004,230.6
Females,South Western Sydney,2004/2005,216.5
Females,South Western Sydney,2005/2006,202.9
Females,South Western Sydney,2006/2007,203.5
Females,South Western Sydney,2007/2008,243.3
Females,South Western Sydney,2008/2009,238.7
Females,South Western Sydney,2009/2010,219
Females,South Western Sydney,2010/2011,190.1
Females,South Western Sydney,2011/2012,233.4
Females,South Western Sydney,2012/2013,208.4
Females,South Western Sydney,2013/2014,195
Females,South Western Sydney,2014/2015,191.1
Females,South Western Sydney,2015/2016,213.2
Females,South Western Sydney,2016/2017,221
Females,South Western Sydney,2017/2018,229.3
Females,South Western Sydney,2018/2019,215.7
Females,South Western Sydney,2019/2020,189.2
Females,South Western Sydney,2020/2021,113.5
Females,South Western Sydney,2021/2022,105.2
Females,South Eastern Sydney,2001/2002,151.6
Females,South Eastern Sydney,2002/2003,138.2
Females,South Eastern Sydney,2003/2004,147.3
Females,South Eastern Sydney,2004/2005,136.4
Females,South Eastern Sydney,2005/2006,126.7
Females,South Eastern Sydney,2006/2007,115.3
Females,South Eastern Sydney,2007/2008,130
Females,South Eastern Sydney,2008/2009,131.2
Females,South Eastern Sydney,2009/2010,110.5
Females,South Eastern Sydney,2010/2011,116.1
Females,South Eastern Sydney,2011/2012,134.3
Females,South Eastern Sydney,2012/2013,121.5
Females,South Eastern Sydney,2013/2014,122.7
Females,South Eastern Sydney,2014/2015,123.3
Females,South Eastern Sydney,2015/2016,125.6
Females,South Eastern Sydney,2016/2017,122.2
Females,South Eastern Sydney,2017/2018,119.1
Females,South Eastern Sydney,2018/2019,117.9
Females,South Eastern Sydney,2019/2020,105.7
Females,South Eastern Sydney,2020/2021,65
Females,South Eastern Sydney,2021/2022,62.4
Females,Illawarra Shoalhaven,2001/2002,190.9
Females,Illawarra Shoalhaven,2002/2003,203.6
Females,Illawarra Shoalhaven,2003/2004,220.2
Females,Illawarra Shoalhaven,2004/2005,203.5
Females,Illawarra Shoalhaven,2005/2006,202.8
Females,Illawarra Shoalhaven,2006/2007,199.4
Females,Illawarra Shoalhaven,2007/2008,194.9
Females,Illawarra Shoalhaven,2008/2009,198.6
Females,Illawarra Shoalhaven,2009/2010,234.9
Females,Illawarra Shoalhaven,2010/2011,222
Females,Illawarra Shoalhaven,2011/2012,229.9
Females,Illawarra Shoalhaven,2012/2013,235.7
Females,Illawarra Shoalhaven,2013/2014,229.4
Females,Illawarra Shoalhaven,2014/2015,248.2
Females,Illawarra Shoalhaven,2015/2016,233
Females,Illawarra Shoalhaven,2016/2017,242.9
Females,Illawarra Shoalhaven,2017/2018,254.9
Females,Illawarra Shoalhaven,2018/2019,251.7
Females,Illawarra Shoalhaven,2019/2020,240.3
Females,Illawarra Shoalhaven,2020/2021,168.2
Females,Illawarra Shoalhaven,2021/2022,158.6
Females,Western Sydney,2001/2002,199.8
Females,Western Sydney,2002/2003,188.3
Females,Western Sydney,2003/2004,192.6
Females,Western Sydney,2004/2005,173.3
Females,Western Sydney,2005/2006,171.6
Females,Western Sydney,2006/2007,182.9
Females,Western Sydney,2007/2008,168.7
Females,Western Sydney,2008/2009,203.3
Females,Western Sydney,2009/2010,185.7
Females,Western Sydney,2010/2011,198.4
Females,Western Sydney,2011/2012,195.4
Females,Western Sydney,2012/2013,203.8
Females,Western Sydney,2013/2014,199.2
