financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm
2021/2022,Hunter New England,0.06693619867511118,0.48336871703474266,0.5154204352533742,1.863955384662791,18.842531728568822,0.13874307902411576
2022/2023,Hunter New England,0.06116785404959563,0.451607113285206,0.5014504509613554,1.9130330669247517,18.207142857142856,0.1386260250043352
2023/2024,Hunter New England,0.07049259080312224,0.5208674928113552,0.555903193359782,2.0654761904761902,21.335714285714285,0.13817148321298484
2000/2001,Illawarra Shoalhaven,0.25833333333333336,0.7458333333333335,0.8291666666666666,1.7625,18.214958066447696,0.10000000000000002
2001/2002,Illawarra Shoalhaven,0.2916666666666667,0.7083333333333334,0.8375,1.832517182885798,18.89403100134372,0.10000000000000002
2002/2003,Illawarra Shoalhaven,0.3451959807429948,0.8250000000000001,0.9083333333333333,1.8076853650626472,23.181792187209368,0.10000000000000002
2003/2004,Illawarra Shoalhaven,0.3267494426158623,0.7041666666666666,0.8291666666666666,1.8666666666666665,19.6491411643891,0.10000000000000002
2004/2005,Illawarra Shoalhaven,0.30416666666666664,0.6306164704788452,0.7189607149287501,1.8,18.25,0.10000000000000002
2005/2006,Illawarra Shoalhaven,0.25416666666666665,0.6069125815908266,0.6999185880238651,1.8541666666666667,18.811089599673707,0.10000000000000002
2006/2007,Illawarra Shoalhaven,0.2747207978828515,0.6240183617552019,0.723873163273329,1.7876959979833404,21.0625,0.10000000000000002
2007/2008,Illawarra Shoalhaven,0.18069657237416695,0.5079635424850704,0.636131043672174,1.7583333333333335,17.726050303621687,0.10000000000000002
2008/2009,Illawarra Shoalhaven,0.14583333333333334,0.37534016935243114,0.6463719973271917,1.95,20.002890531873472,0.10000000000000002
2009/2010,Illawarra Shoalhaven,0.3412974590842002,0.5270408606836113,0.6235075486405811,1.955985813460542,20.408333333333335,0.10000000000000002
2010/2011,Illawarra Shoalhaven,0.31666666666666665,0.35728787463828265,0.5838362685693674,1.8541666666666667,16.970833333333335,0.10000000000000002
2011/2012,Illawarra Shoalhaven,0.3,0.44090909090909086,0.6863636363636364,1.8136363636363635,17.099999999999998,0.1
2012/2013,Illawarra Shoalhaven,0.20833333333333334,0.38463956730870913,0.670510572998499,1.7666666666666666,18.412499999999998,0.10000000000000002
2013/2014,Illawarra Shoalhaven,0.20833333333333334,0.38576313712888305,0.6610301030842166,1.9375,18.045833333333334,0.10000000000000002
2014/2015,Illawarra Shoalhaven,0.20833333333333334,0.3552270670891047,0.5909735561443975,1.9124999999999999,17.287499999999998,0.10000000000000002
2015/2016,Illawarra Shoalhaven,0.20833333333333334,0.36250000000000004,0.6291666666666667,1.8683087024036045,18.758333333333333,0.10000000000000002
2016/2017,Illawarra Shoalhaven,0.20000000000000004,0.3416666666666666,0.5458333333333333,1.95,18.724999999999998,0.10000000000000002
2017/2018,Illawarra Shoalhaven,0.17500000000000002,0.37083333333333335,0.5375,2.0223979578271054,20.462500000000002,0.10000000000000002
2018/2019,Illawarra Shoalhaven,0.19166666666666668,0.3538060328112442,0.5706349347229379,1.9416666666666667,21.31693798737167,0.10000000000000002
2019/2020,Illawarra Shoalhaven,0.20833333333333334,0.3041666666666667,0.5333333333333333,2.0124999999999997,22.03333333333333,0.10000000000000002
2020/2021,Illawarra Shoalhaven,0.20000000000000004,0.33749999999999997,0.45,1.8291666666666666,17.845833333333335,0.10000000000000002
2021/2022,Illawarra Shoalhaven,0.16666666666666666,0.3041666666666667,0.3166666666666667,1.8041666666666665,15.049999999999999,0.10000000000000002
2022/2023,Illawarra Shoalhaven,0.17500000000000002,0.29583333333333334,0.3666666666666667,1.8625,15.616666666666667,0.10000000000000002
2023/2024,Illawarra Shoalhaven,0.10833333333333335,0.39999999999999997,0.65,1.820317970042006,20.1125,0.10000000000000002
2000/2001,Mid North Coast,0.14812388940424387,0.11158719601915666,0.2997208536969332,2.3705704109600556,NA,0.050627379589278994
2001/2002,Mid North Coast,0.1115302055796491,0.07497966118622126,0.2764196364885007,2.413914481927924,NA,0.0
