date,sex,lhd,"rate per 100,000 population"
2015-11,Males,Illawarra Shoalhaven,29.2
2015-12,Males,Illawarra Shoalhaven,30.1
2016-01,Males,Illawarra Shoalhaven,20.2
2016-02,Males,Illawarra Shoalhaven,44.6
2016-03,Males,Illawarra Shoalhaven,31.8
2016-04,Males,Illawarra Shoalhaven,30.7
2016-05,Males,Illawarra Shoalhaven,41.7
2016-06,Males,Illawarra Shoalhaven,37.0
2016-07,Males,Illawarra Shoalhaven,32.2
2016-08,Males,Illawarra Shoalhaven,29.5
2016-09,Males,Illawarra Shoalhaven,34.9
2016-10,Males,Illawarra Shoalhaven,23.2
2016-11,Males,Illawarra Shoalhaven,27.0
2016-12,Males,Illawarra Shoalhaven,23.3
2017-01,Males,Illawarra Shoalhaven,20.8
2017-02,Males,Illawarra Shoalhaven,28.2
2017-03,Males,Illawarra Shoalhaven,33.0
2017-04,Males,Illawarra Shoalhaven,43.3
2017-05,Males,Illawarra Shoalhaven,53.3
2017-06,Males,Illawarra Shoalhaven,32.8
2017-07,Males,Illawarra Shoalhaven,42.0
2017-08,Males,Illawarra Shoalhaven,26.5
2017-09,Males,Illawarra Shoalhaven,23.5
2017-10,Males,Illawarra Shoalhaven,32.9
2017-11,Males,Illawarra Shoalhaven,27.2
2017-12,Males,Illawarra Shoalhaven,23.3
2018-01,Males,Illawarra Shoalhaven,20.6
2018-02,Males,Illawarra Shoalhaven,51.2
2018-03,Males,Illawarra Shoalhaven,39.2
2018-04,Males,Illawarra Shoalhaven,30.6
2018-05,Males,Illawarra Shoalhaven,44.6
2018-06,Males,Illawarra Shoalhaven,36.2
2018-07,Males,Illawarra Shoalhaven,26.6
2018-08,Males,Illawarra Shoalhaven,20.0
2018-09,Males,Illawarra Shoalhaven,27.8
2018-10,Males,Illawarra Shoalhaven,16.4
2018-11,Males,Illawarra Shoalhaven,23.7
2018-12,Males,Illawarra Shoalhaven,29.4
2019-01,Males,Illawarra Shoalhaven,21.7
2019-02,Males,Illawarra Shoalhaven,43.3
2019-03,Males,Illawarra Shoalhaven,29.1
2019-04,Males,Illawarra Shoalhaven,30.9
2019-05,Males,Illawarra Shoalhaven,38.4
2019-06,Males,Illawarra Shoalhaven,31.0
