financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm
2016/2017,Central Coast,0.10000000000000002,0.21666666666666667,0.4916666666666667,1.7750000000000001,15.358333333333334,0.05833333333333334
2017/2018,Central Coast,0.10833333333333334,0.17500000000000002,0.44166666666666665,1.8612032114976393,16.816666666666666,0.075
2018/2019,Central Coast,0.10833333333333334,0.21666666666666667,0.4166666666666667,1.7333333333333334,17.75,0.09166666666666667
2019/2020,Central Coast,0.1458308837001989,0.20833333333333334,0.35833333333333334,1.9166666666666667,18.53480795463398,0.06666666666666667
2020/2021,Central Coast,0.13333333333333333,0.2333333333333333,0.35000000000000003,1.7166666666666668,14.075000000000001,0.05833333333333334
2021/2022,Central Coast,0.0,0.19166666666666665,0.225,1.6666666666666667,12.658333333333333,0.0814670702638771
2022/2023,Central Coast,0.0,0.19166666666666665,0.225,1.6833333333333333,12.0,0.05833333333333334
2023/2024,Central Coast,0.02083088370019888,0.1832172353129661,0.25896048494275586,1.7916666666666667,14.533333333333333,0.075
2000/2001,Hunter New England,0.13298258235676005,0.7553961838826005,0.8293701985582874,2.1117188473591644,20.620837437594822,0.19486050771998698
2001/2002,Hunter New England,0.13866811389601774,0.7921786421146825,0.8334949318632546,2.1888600905510818,21.48739353939904,0.18652792684661942
2002/2003,Hunter New England,0.1662524152743954,0.7774717693629727,0.8416840769953274,2.3583489655037884,25.271179227092727,0.1929168466817924
2003/2004,Hunter New England,0.1457715085263532,0.7197123080293538,0.8003850247839422,2.2987525434406266,22.80706466018159,0.17721003138429622
2004/2005,Hunter New England,0.08912483393599273,0.7006941731668106,0.7564548004396229,2.24950830536397,22.416881086454506,0.19016079234547545
2005/2006,Hunter New England,0.10822916952760979,0.7481587951588503,0.7840200345235308,2.1644851594013024,21.72720903710908,0.16917101942234233
2006/2007,Hunter New England,0.11987050254591042,0.6686137828604458,0.7544555397581991,2.17849589073086,22.56308227709671,0.18016199011929088
2007/2008,Hunter New England,0.12430971709069617,0.6226253336248614,0.6844523538172312,2.048901640053877,20.61283332559288,0.17274723097113562
2008/2009,Hunter New England,0.1288396556749916,0.45335460105165337,0.630808196278828,2.285789471948948,23.16740279589908,0.1562318565286301
2009/2010,Hunter New England,0.1404428928779258,0.6082694867982251,0.7290876668276276,2.318638197828766,23.950778579956477,0.17683223121595606
2010/2011,Hunter New England,0.0699730088318303,0.48485207476800457,0.6765022080402469,2.073648996630712,19.163104650986266,0.16749348951295473
2011/2012,Hunter New England,0.09008661782506973,0.6541035990436508,0.729671287615179,1.9252942608233423,19.65316098510373,0.18145473550408522
2012/2013,Hunter New England,0.09584020173624565,0.5596531740338974,0.6763105419605804,2.1165266948124732,22.49990333248897,0.15946490224122953
2013/2014,Hunter New England,0.09506159641366345,0.5790235251878842,0.6998056610769526,2.1789264656423897,22.558618193985577,0.1681176097188105
2014/2015,Hunter New England,0.11726165771599095,0.47701162380695655,0.6383334642194478,2.1697763257062745,21.944556026130325,0.16017411897065492
2015/2016,Hunter New England,0.16025868904571403,0.4746506655543263,0.6639545339309212,2.065578360434832,22.25952380952381,0.16144819518738376
2016/2017,Hunter New England,0.09270602455469225,0.49869527311521383,0.6590477106595138,2.1361980983600533,21.760714285714286,0.1890832551219085
2017/2018,Hunter New England,0.13464241441957023,0.5432049872182545,0.6704540994301834,2.2169515303089202,24.033462526174635,0.1901856790793491
2018/2019,Hunter New England,0.12744252013636637,0.5568070226951519,0.6515688602466888,2.190034463613588,25.725258385682597,0.18934085365856124
2019/2020,Hunter New England,0.11416624373291318,0.5173286419889679,0.6311655888951452,2.369871471237419,26.145701142811827,0.17862273570858742
2020/2021,Hunter New England,0.09072006043047219,0.5240976584804783,0.5347700773370855,1.9699591430708407,19.755952380952383,0.1461275452525607
2021/2022,Hunter New England,0.06693033260381062,0.4919326100770908,0.5149966115899108,1.8668504855492907,18.842684517438993,0.1391030066808309
2022/2023,Hunter New England,0.06115809730522597,0.4519981394145445,0.5012807752853085,1.913730088822631,18.207142857142856,0.13888725572282318
2023/2024,Hunter New England,0.07048694735324852,0.5216151180935347,0.5558454640404822,2.0654761904761902,21.335714285714285,0.1381389863703731
2000/2001,Illawarra Shoalhaven,0.25833333333333336,0.7458333333333335,0.8291666666666666,1.7625,18.213024878269447,0.10000000000000002
2001/2002,Illawarra Shoalhaven,0.2916666666666667,0.7083333333333334,0.8375,1.8326125680446628,18.893907701744762,0.10000000000000002
2002/2003,Illawarra Shoalhaven,0.3445409269592128,0.8250000000000001,0.9083333333333333,1.8075982250644715,23.180900639849366,0.10000000000000002
2003/2004,Illawarra Shoalhaven,0.326690440584924,0.7041666666666666,0.8291666666666666,1.8666666666666665,19.650443850914844,0.10000000000000002
2004/2005,Illawarra Shoalhaven,0.30416666666666664,0.6296822252525635,0.7188466535698105,1.8,18.25,0.10000000000000002
