sex,lhd,financial year,"rate per 100,000 population"
Males,Northern NSW,2006/2007,282.3
Males,Northern NSW,2007/2008,350.7
Males,Northern NSW,2008/2009,313
Males,Northern NSW,2009/2010,342.4
Males,Northern NSW,2010/2011,306.5
Males,Northern NSW,2011/2012,348.9
Males,Northern NSW,2012/2013,287
Males,Northern NSW,2013/2014,325.9
Males,Northern NSW,2014/2015,320.6
Males,Northern NSW,2015/2016,387.6
Males,Northern NSW,2016/2017,375.9
Males,Northern NSW,2017/2018,445
Males,Northern NSW,2018/2019,400.1
Males,Northern NSW,2019/2020,414.1
Males,Northern NSW,2020/2021,225.8
Males,Mid North Coast,2001/2002,381.6
Males,Mid North Coast,2002/2003,427.1
Males,Mid North Coast,2003/2004,504.8
Males,Mid North Coast,2004/2005,421.5
Males,Mid North Coast,2005/2006,403.7
Males,Mid North Coast,2006/2007,389.1
Males,Mid North Coast,2007/2008,430.9
Males,Mid North Coast,2008/2009,391
Males,Mid North Coast,2009/2010,376.8
Males,Mid North Coast,2010/2011,340.1
Males,Mid North Coast,2011/2012,393
Males,Mid North Coast,2012/2013,399.6
Males,Mid North Coast,2013/2014,324.7
Males,Mid North Coast,2014/2015,399.9
Males,Mid North Coast,2015/2016,451.9
Males,Mid North Coast,2016/2017,407.4
Males,Mid North Coast,2017/2018,428.2
Males,Mid North Coast,2018/2019,399.1
Males,Mid North Coast,2019/2020,392.9
Males,Mid North Coast,2020/2021,292.6
Males,Southern NSW,2001/2002,350.9
Males,Southern NSW,2002/2003,376
Males,Southern NSW,2003/2004,397.7
Males,Southern NSW,2004/2005,371.6
Males,Southern NSW,2005/2006,322
Males,Southern NSW,2006/2007,298.6
Males,Southern NSW,2007/2008,406.6
Males,Southern NSW,2008/2009,391.8
Males,Southern NSW,2009/2010,391.5
Males,Southern NSW,2010/2011,456.5
Males,Southern NSW,2011/2012,432.4
Males,Southern NSW,2012/2013,362.3
Males,Southern NSW,2013/2014,354.1
Males,Southern NSW,2014/2015,371.9
Males,Southern NSW,2015/2016,414.9
Males,Southern NSW,2016/2017,451.2
Males,Southern NSW,2017/2018,505.3
Males,Southern NSW,2018/2019,457.8
Males,Southern NSW,2019/2020,425.4
Males,Southern NSW,2020/2021,306.4
Males,Murrumbidgee,2001/2002,464.6
Males,Murrumbidgee,2002/2003,534.8
Males,Murrumbidgee,2003/2004,475.2
Males,Murrumbidgee,2004/2005,485.3
Males,Murrumbidgee,2005/2006,509.7
Males,Murrumbidgee,2006/2007,421.8
Males,Murrumbidgee,2007/2008,484.8
Males,Murrumbidgee,2008/2009,465.7
Males,Murrumbidgee,2009/2010,446.1
Males,Murrumbidgee,2010/2011,520
Males,Murrumbidgee,2011/2012,504.5
Males,Murrumbidgee,2012/2013,438.9
Males,Murrumbidgee,2013/2014,459.5
Males,Murrumbidgee,2014/2015,562.2
Males,Murrumbidgee,2015/2016,577.6
Males,Murrumbidgee,2016/2017,536.3
Males,Murrumbidgee,2017/2018,590.3
Males,Murrumbidgee,2018/2019,574.7
Males,Murrumbidgee,2019/2020,509.6
Males,Murrumbidgee,2020/2021,377.6
Males,Western NSW,2001/2002,569.8
Males,Western NSW,2002/2003,614
Males,Western NSW,2003/2004,658.9
Males,Western NSW,2004/2005,598.7
Males,Western NSW,2005/2006,554.7
Males,Western NSW,2006/2007,488.2
Males,Western NSW,2007/2008,544.3
Males,Western NSW,2008/2009,504.7
Males,Western NSW,2009/2010,553.1
Males,Western NSW,2010/2011,531.6
Males,Western NSW,2011/2012,511.8
Males,Western NSW,2012/2013,507.8
Males,Western NSW,2013/2014,427.1
Males,Western NSW,2014/2015,483.2
Males,Western NSW,2015/2016,545.3
Males,Western NSW,2016/2017,599.5
Males,Western NSW,2017/2018,565.2
Males,Western NSW,2018/2019,487.4
Males,Western NSW,2019/2020,458.9
Males,Western NSW,2020/2021,338.9
Females,Sydney,2001/2002,222.3
Females,Sydney,2002/2003,219.4
Females,Sydney,2003/2004,221.1
Females,Sydney,2004/2005,214.7
Females,Sydney,2005/2006,201.7
Females,Sydney,2006/2007,184.1
Females,Sydney,2007/2008,212.9
Females,Sydney,2008/2009,193.2
Females,Sydney,2009/2010,202.8
Females,Sydney,2010/2011,220.2
Females,Sydney,2011/2012,220.1
Females,Sydney,2012/2013,198.2
Females,Sydney,2013/2014,203.5
Females,Sydney,2014/2015,261.7
Females,Sydney,2015/2016,260.9
Females,Sydney,2016/2017,280.6
Females,Sydney,2017/2018,319.9
Females,Sydney,2018/2019,281.5
Females,Sydney,2019/2020,297.2
Females,Sydney,2020/2021,172.8
Females,South Western Sydney,2001/2002,218.9
Females,South Western Sydney,2002/2003,249.7
Females,South Western Sydney,2003/2004,252.7
Females,South Western Sydney,2004/2005,237.5
Females,South Western Sydney,2005/2006,234.6
Females,South Western Sydney,2006/2007,218.2
Females,South Western Sydney,2007/2008,248.2
Females,South Western Sydney,2008/2009,218.1
Females,South Western Sydney,2009/2010,236.4
Females,South Western Sydney,2010/2011,231.2
Females,South Western Sydney,2011/2012,268.9
Females,South Western Sydney,2012/2013,235.9
Females,South Western Sydney,2013/2014,237.2
Females,South Western Sydney,2014/2015,297.4
Females,South Western Sydney,2015/2016,308.9
Females,South Western Sydney,2016/2017,328.5
Females,South Western Sydney,2017/2018,378.6
Females,South Western Sydney,2018/2019,358.4
Females,South Western Sydney,2019/2020,326.3
Females,South Western Sydney,2020/2021,176.4
Females,South Eastern Sydney,2001/2002,210.7
Females,South Eastern Sydney,2002/2003,228.4
Females,South Eastern Sydney,2003/2004,224.7
Females,South Eastern Sydney,2004/2005,207.4
Females,South Eastern Sydney,2005/2006,188.8
Females,South Eastern Sydney,2006/2007,184.8
Females,South Eastern Sydney,2007/2008,215.5
Females,South Eastern Sydney,2008/2009,187
Females,South Eastern Sydney,2009/2010,201.4
Females,South Eastern Sydney,2010/2011,195.9
Females,South Eastern Sydney,2011/2012,224
Females,South Eastern Sydney,2012/2013,194.9
Females,South Eastern Sydney,2013/2014,195.9
Females,South Eastern Sydney,2014/2015,251.1
Females,South Eastern Sydney,2015/2016,231.1
Females,South Eastern Sydney,2016/2017,247
Females,South Eastern Sydney,2017/2018,300
Females,South Eastern Sydney,2018/2019,316.5
Females,South Eastern Sydney,2019/2020,296.7
Females,South Eastern Sydney,2020/2021,135
Females,Illawarra Shoalhaven,2001/2002,198.4
Females,Illawarra Shoalhaven,2002/2003,179.1
Females,Illawarra Shoalhaven,2003/2004,214.2
Females,Illawarra Shoalhaven,2004/2005,225.6
Females,Illawarra Shoalhaven,2005/2006,221.3
Females,Illawarra Shoalhaven,2006/2007,186.3
Females,Illawarra Shoalhaven,2007/2008,196.6
Females,Illawarra Shoalhaven,2008/2009,247.5
Females,Illawarra Shoalhaven,2009/2010,264.3
Females,Illawarra Shoalhaven,2010/2011,249.2
Females,Illawarra Shoalhaven,2011/2012,254.5
Females,Illawarra Shoalhaven,2012/2013,268.7
Females,Illawarra Shoalhaven,2013/2014,259.5
Females,Illawarra Shoalhaven,2014/2015,313.6
Females,Illawarra Shoalhaven,2015/2016,296.9
Females,Illawarra Shoalhaven,2016/2017,280.5
Females,Illawarra Shoalhaven,2017/2018,371.2
Females,Illawarra Shoalhaven,2018/2019,339.7
Females,Illawarra Shoalhaven,2019/2020,340
Females,Illawarra Shoalhaven,2020/2021,192.9
Females,Western Sydney,2001/2002,226.2
Females,Western Sydney,2002/2003,213.3
Females,Western Sydney,2003/2004,235.2
Females,Western Sydney,2004/2005,224.3
Females,Western Sydney,2005/2006,215.1
Females,Western Sydney,2006/2007,222.9
Females,Western Sydney,2007/2008,223.5
Females,Western Sydney,2008/2009,235.2
Females,Western Sydney,2009/2010,222.7
Females,Western Sydney,2010/2011,238.2
Females,Western Sydney,2011/2012,255
Females,Western Sydney,2012/2013,243.2
Females,Western Sydney,2013/2014,262.5
Females,Western Sydney,2014/2015,302.3
Females,Western Sydney,2015/2016,297.6
Females,Western Sydney,2016/2017,291.9
Females,Western Sydney,2017/2018,351
Females,Western Sydney,2018/2019,362.4
Females,Western Sydney,2019/2020,311.1
Females,Western Sydney,2020/2021,161.9
Females,Nepean Blue Mountains,2001/2002,263.9
Females,Nepean Blue Mountains,2002/2003,293.1
Females,Nepean Blue Mountains,2003/2004,290.7
Females,Nepean Blue Mountains,2004/2005,276
Females,Nepean Blue Mountains,2005/2006,253.4
Females,Nepean Blue Mountains,2006/2007,262.6
Females,Nepean Blue Mountains,2007/2008,320.1
Females,Nepean Blue Mountains,2008/2009,251.5
Females,Nepean Blue Mountains,2009/2010,244.1
Females,Nepean Blue Mountains,2010/2011,312.5
Females,Nepean Blue Mountains,2011/2012,294.6
Females,Nepean Blue Mountains,2012/2013,268
Females,Nepean Blue Mountains,2013/2014,274.9
Females,Nepean Blue Mountains,2014/2015,320.3
Females,Nepean Blue Mountains,2015/2016,326.5
Females,Nepean Blue Mountains,2016/2017,301.2
Females,Nepean Blue Mountains,2017/2018,386.6
Females,Nepean Blue Mountains,2018/2019,370.6
Females,Nepean Blue Mountains,2019/2020,354.3
Females,Nepean Blue Mountains,2020/2021,182.8
Females,Northern Sydney,2001/2002,186.8
Females,Northern Sydney,2002/2003,179.8
Females,Northern Sydney,2003/2004,204.1
Females,Northern Sydney,2004/2005,199.4
Females,Northern Sydney,2005/2006,191.7
Females,Northern Sydney,2006/2007,164.1
Females,Northern Sydney,2007/2008,197.3
Females,Northern Sydney,2008/2009,208.1
Females,Northern Sydney,2009/2010,200.7
Females,Northern Sydney,2010/2011,217.9
Females,Northern Sydney,2011/2012,237.8
Females,Northern Sydney,2012/2013,199.5
Females,Northern Sydney,2013/2014,197.4
Females,Northern Sydney,2014/2015,264.6
Females,Northern Sydney,2015/2016,274.3
Females,Northern Sydney,2016/2017,261.8
Females,Northern Sydney,2017/2018,306
Females,Northern Sydney,2018/2019,302.4
Females,Northern Sydney,2019/2020,288.3
Females,Northern Sydney,2020/2021,136.4
Females,Central Coast,2001/2002,198.1
Females,Central Coast,2002/2003,213.2
Females,Central Coast,2003/2004,217.8
Females,Central Coast,2004/2005,190.7
Females,Central Coast,2005/2006,208.5
Females,Central Coast,2006/2007,215.2
Females,Central Coast,2007/2008,198.6
Females,Central Coast,2008/2009,241.2
Females,Central Coast,2009/2010,221.4
Females,Central Coast,2010/2011,251.1
Females,Central Coast,2011/2012,241.1
Females,Central Coast,2012/2013,217.2
Females,Central Coast,2013/2014,206.7
Females,Central Coast,2014/2015,269
Females,Central Coast,2015/2016,298.5
Females,Central Coast,2016/2017,260.3
Females,Central Coast,2017/2018,343.6
Females,Central Coast,2018/2019,339.6
Females,Central Coast,2019/2020,336.9
Females,Central Coast,2020/2021,185.3
Females,Hunter New England,2001/2002,249.6
Females,Hunter New England,2002/2003,277.4
Females,Hunter New England,2003/2004,273.1
Females,Hunter New England,2004/2005,272.5
Females,Hunter New England,2005/2006,238.6
Females,Hunter New England,2006/2007,227.3
Females,Hunter New England,2007/2008,265.7
Females,Hunter New England,2008/2009,229.7
Females,Hunter New England,2009/2010,248.2
Females,Hunter New England,2010/2011,270.2
Females,Hunter New England,2011/2012,262
Females,Hunter New England,2012/2013,228.4
