sex,lhd,date,"rate per 100,000 population"
Males,South Eastern Sydney,2021-06,16.4
Males,South Eastern Sydney,2021-07,9.7
Males,South Eastern Sydney,2021-08,7.8
Males,South Eastern Sydney,2021-09,4.2
Males,South Eastern Sydney,2021-10,3.8
Males,South Eastern Sydney,2021-11,8.6
Males,South Eastern Sydney,2021-12,10.8
Males,South Eastern Sydney,2022-01,7.0
Males,South Eastern Sydney,2022-02,10.1
Males,South Eastern Sydney,2022-03,22.8
Males,South Eastern Sydney,2022-04,24.2
Males,South Eastern Sydney,2022-05,31.9
Males,South Eastern Sydney,2022-06,16.5
Males,South Eastern Sydney,2022-07,14.0
Males,South Eastern Sydney,2022-08,20.2
Males,South Eastern Sydney,2022-09,18.6
Males,South Eastern Sydney,2022-10,14.9
Males,South Eastern Sydney,2022-11,15.0
Males,South Eastern Sydney,2022-12,12.9
Males,South Eastern Sydney,2023-01,5.9
Males,South Eastern Sydney,2023-02,21.8
Males,South Eastern Sydney,2023-03,17.8
Males,South Eastern Sydney,2023-04,16.6
Males,South Eastern Sydney,2023-05,19.3
Males,South Eastern Sydney,2023-06,13.8
Males,Illawarra Shoalhaven,2014-07,26.7
Males,Illawarra Shoalhaven,2014-08,37.5
Males,Illawarra Shoalhaven,2014-09,26.3
Males,Illawarra Shoalhaven,2014-10,22.9
Males,Illawarra Shoalhaven,2014-11,26.9
Males,Illawarra Shoalhaven,2014-12,24.2
Males,Illawarra Shoalhaven,2015-01,25.4
Males,Illawarra Shoalhaven,2015-02,45.4
Males,Illawarra Shoalhaven,2015-03,40.0
Males,Illawarra Shoalhaven,2015-04,27.3
Males,Illawarra Shoalhaven,2015-05,39.4
Males,Illawarra Shoalhaven,2015-06,40.7
Males,Illawarra Shoalhaven,2015-07,33.0
Males,Illawarra Shoalhaven,2015-08,34.1
Males,Illawarra Shoalhaven,2015-09,29.9
Males,Illawarra Shoalhaven,2015-10,28.9
Males,Illawarra Shoalhaven,2015-11,29.2
Males,Illawarra Shoalhaven,2015-12,30.1
Males,Illawarra Shoalhaven,2016-01,20.2
Males,Illawarra Shoalhaven,2016-02,44.6
Males,Illawarra Shoalhaven,2016-03,31.8
Males,Illawarra Shoalhaven,2016-04,30.7
Males,Illawarra Shoalhaven,2016-05,41.7
Males,Illawarra Shoalhaven,2016-06,37.0
Males,Illawarra Shoalhaven,2016-07,32.2
Males,Illawarra Shoalhaven,2016-08,29.5
Males,Illawarra Shoalhaven,2016-09,34.9
Males,Illawarra Shoalhaven,2016-10,23.2
Males,Illawarra Shoalhaven,2016-11,27.0
Males,Illawarra Shoalhaven,2016-12,23.3
Males,Illawarra Shoalhaven,2017-01,20.8
Males,Illawarra Shoalhaven,2017-02,28.2
Males,Illawarra Shoalhaven,2017-03,33.0
Males,Illawarra Shoalhaven,2017-04,43.3
