"Influenza and pneumonia hospitalisations by Age (years), Sex and LHD",,,,,,
Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
0-4 years,Males,Southern NSW LHD,8-Sep,443.9,292.5,645.8
0-4 years,Males,Southern NSW LHD,9-Oct,498.4,338.7,707.5
0-4 years,Males,Southern NSW LHD,10-Nov,641.3,458.1,873.2
0-4 years,Males,Southern NSW LHD,11-Dec,578.8,405.4,801.3
0-4 years,Males,Southern NSW LHD,Dec-13,368.8,233.8,553.4
0-4 years,Males,Southern NSW LHD,13/14,418.2,273.2,612.7
0-4 years,Males,Southern NSW LHD,14/15,356.5,223.4,539.8
0-4 years,Males,Southern NSW LHD,15/16,472.4,316.4,678.5
0-4 years,Males,Southern NSW LHD,16/17,657,469.4,894.7
0-4 years,Males,Southern NSW LHD,17/18,648.8,461.3,886.9
0-4 years,Males,Southern NSW LHD,18/19,714.2,516.8,962
0-4 years,Males,Southern NSW LHD,19/20,395.9,253.7,589.1
0-4 years,Males,Southern NSW LHD,20/21,400.2,256.4,595.5
0-4 years,Males,Murrumbidgee LHD,1-Feb,654.2,495.5,847.6
0-4 years,Males,Murrumbidgee LHD,2-Mar,715.8,547.5,919.4
0-4 years,Males,Murrumbidgee LHD,3-Apr,837.6,652.9,"1,058.20"
0-4 years,Males,Murrumbidgee LHD,4-May,546.7,398.8,731.5
0-4 years,Males,Murrumbidgee LHD,5-Jun,651.6,488.1,852.3
0-4 years,Males,Murrumbidgee LHD,6-Jul,284.6,180.4,427
0-4 years,Males,Murrumbidgee LHD,7-Aug,530.5,383.9,714.6
0-4 years,Males,Murrumbidgee LHD,8-Sep,627.5,467.2,825.1
0-4 years,Males,Murrumbidgee LHD,9-Oct,517.8,373.2,699.9
0-4 years,Males,Murrumbidgee LHD,10-Nov,617.6,458.4,814.2
0-4 years,Males,Murrumbidgee LHD,11-Dec,691,522,897.3
0-4 years,Males,Murrumbidgee LHD,Dec-13,527.9,382,711.1
0-4 years,Males,Murrumbidgee LHD,13/14,442.6,310,612.7
0-4 years,Males,Murrumbidgee LHD,14/15,632.7,471.1,831.9
0-4 years,Males,Murrumbidgee LHD,15/16,568.7,416.4,758.6
0-4 years,Males,Murrumbidgee LHD,16/17,644.7,481.5,845.4
0-4 years,Males,Murrumbidgee LHD,17/18,556.2,404.1,746.7
0-4 years,Males,Murrumbidgee LHD,18/19,626.9,463.8,828.8
0-4 years,Males,Murrumbidgee LHD,19/20,574.6,419.1,768.9
0-4 years,Males,Murrumbidgee LHD,20/21,528.7,379.4,717.2
0-4 years,Males,Western NSW LHD,1-Feb,"1,171.20",971.1,"1,400.50"
0-4 years,Males,Western NSW LHD,2-Mar,"1,359.60","1,140.70","1,608.20"
0-4 years,Males,Western NSW LHD,3-Apr,"1,501.30","1,268.40","1,764.60"
0-4 years,Males,Western NSW LHD,4-May,870.1,694,"1,077.20"
0-4 years,Males,Western NSW LHD,5-Jun,"1,000.60",809.6,"1,223.20"
0-4 years,Males,Western NSW LHD,6-Jul,631.4,481.8,812.8
0-4 years,Males,Western NSW LHD,7-Aug,638.5,489.5,818.5
0-4 years,Males,Western NSW LHD,8-Sep,745.1,585.1,935.4
0-4 years,Males,Western NSW LHD,9-Oct,729.1,572.5,915.3
0-4 years,Males,Western NSW LHD,10-Nov,627.4,483.2,801.2
0-4 years,Males,Western NSW LHD,11-Dec,876.8,704.1,"1,078.90"
0-4 years,Males,Western NSW LHD,Dec-13,553.5,418.1,718.8
0-4 years,Males,Western NSW LHD,13/14,478.4,352.8,634.3
0-4 years,Males,Western NSW LHD,14/15,692.6,538.9,876.5
0-4 years,Males,Western NSW LHD,15/16,813.5,646,"1,011.10"
0-4 years,Males,Western NSW LHD,16/17,647.2,498.4,826.5
0-4 years,Males,Western NSW LHD,17/18,695,539.7,881.1
0-4 years,Males,Western NSW LHD,18/19,881.5,705.1,"1,088.70"
0-4 years,Males,Western NSW LHD,19/20,588.3,445.5,762.2
0-4 years,Males,Western NSW LHD,20/21,462.4,336,620.8
0-4 years,Males,All LHDs,1-Feb,737.8,702.5,774.3
0-4 years,Males,All LHDs,2-Mar,732,696.8,768.5
0-4 years,Males,All LHDs,3-Apr,830.5,793,869.4
0-4 years,Males,All LHDs,4-May,632.7,599.9,666.8
0-4 years,Males,All LHDs,5-Jun,560,529.3,592
0-4 years,Males,All LHDs,6-Jul,522.1,492.7,552.9
0-4 years,Males,All LHDs,7-Aug,587.9,557,620
0-4 years,Males,All LHDs,8-Sep,556.7,527,587.6
0-4 years,Males,All LHDs,9-Oct,570.9,541.2,601.9
0-4 years,Males,All LHDs,10-Nov,537.8,509,567.7
0-4 years,Males,All LHDs,11-Dec,529.6,501.1,559.2
0-4 years,Males,All LHDs,Dec-13,465.1,438.8,492.7
0-4 years,Males,All LHDs,13/14,483.9,457.1,511.9
0-4 years,Males,All LHDs,14/15,529.4,501.5,558.5
