financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2017/2018,Nepean Blue Mountains,0.159851536,0.232779134,0.447038636,2.139188284,18.52649222,0.067563239,397.1,320.8,160.9,103.425,26.4,33.3,271.7,271.9,11.4,12.9,386.6,479.6
2017/2018,Northern Sydney,0.117443697,0.34656841,0.705003906,1.900933447,16.85833333,0.064202318,195.6,216.7,103.35,72.675,11,12.2,102.9,115.4,11.1,11.5,306,382.4
2017/2018,South Eastern Sydney,0.277671896,2.758155755,1.448040512,1.428517307,20.16666667,0.123136846,216.3,234.7,113.225,88.575,15.2,18.5,119.1,142,8.2,9.5,300,351.5
2017/2018,South Western Sydney,0.226842468,0.647356845,0.805890052,1.944652194,20.64375,0.051921837,292.5,280.8,168.725,111.7,20.5,28.7,229.3,244.7,8.6,9.6,378.6,434.3
2017/2018,Southern NSW,0.133039168,0.19696095,0.363686232,2.311623591,18.51193545,0.06881431,445.1,425,142.15,89.85,30.8,38.9,313.5,353.1,11.3,16.2,440,505.3
2017/2018,Sydney,0.093622542,0.883139774,1.060398989,1.513732106,19.00819355,0.038506627,208.6,229.5,122.5,102.45,10.9,26,149.2,236.8,8.9,13.9,319.9,419.7
2017/2018,Western NSW,0.001401934,0.055301935,0.251631342,2.346973278,18.51193545,0.06881431,579,496.8,124.15,91.05,38.8,53.5,381.7,391.3,11.5,14.1,476.2,565.2
2017/2018,Western Sydney,0.153418001,0.835728334,0.886008443,1.84692167,18.51193545,0.073144011,271.3,263.4,178.375,125.55,16.5,23.9,217.1,222.9,8.6,9.3,351,413.8
2018/2019,Central Coast,0.108333333,0.216666667,0.416666667,1.733333333,17.75,0.091666667,403.8,349,127.975,84.975,31.6,41.1,307.8,286.2,7.8,13.3,339.6,420.6
2018/2019,Hunter New England,0.136481937,0.556026483,0.650187306,2.191191166,25.72189241,0.185593224,465.9,423.3,135.05,107.8,24.6,32.6,240.1,258.6,9.9,10.4,341.7,420
2018/2019,Illawarra Shoalhaven,0.191666667,0.353806033,0.570634935,1.941666667,21.31693799,0.1,392.5,338.5,111.55,53.175,24.2,28.4,251.7,239,10.1,10.4,339.7,401.5
2018/2019,Mid North Coast,0.189461795,0.210351095,0.295979934,1.847432235,18.51193545,0.07301393,477.4,429.7,123.2,115.775,29,36.2,268.5,264.9,9.1,8.8,342.1,399.1
2018/2019,Murrumbidgee,0.133039168,0.195484941,0.326116258,1.887140038,29.250467,0.083333333,670.5,501,206.6,127.675,27.9,38.2,381.3,432.1,9.2,8.2,487.7,574.7
2018/2019,Nepean Blue Mountains,0.138188094,0.238529509,0.433921703,2.081548903,19.05254689,0.044570622,406.2,332.5,185.05,106.55,24.3,27.1,247.4,224.9,9.4,13,370.6,425.4
2018/2019,Northern Sydney,0.124790182,0.394380004,0.79659049,1.841935098,17.80446779,0.078779205,195,223,112.875,91.25,10.1,11,93.4,115.8,9.1,9.5,302.4,357.5
