sex,lhd,financial year,"rate per 100,000 population"
Females,Murrumbidgee,2015/2016,31.4
Females,Murrumbidgee,2016/2017,28.2
Females,Murrumbidgee,2017/2018,23.0
Females,Murrumbidgee,2018/2019,27.9
Females,Murrumbidgee,2019/2020,29.0
Females,Murrumbidgee,2020/2021,24.8
Females,Western NSW,2011/2012,25.2
Females,Western NSW,2012/2013,27.1
Females,Western NSW,2013/2014,27.3
Females,Western NSW,2014/2015,31.1
Females,Western NSW,2015/2016,40.1
Females,Western NSW,2016/2017,46.4
Females,Western NSW,2017/2018,38.8
Females,Western NSW,2018/2019,32.0
Females,Western NSW,2019/2020,32.0
Females,Western NSW,2020/2021,31.0
Females,Far West,2011/2012,30.9
Females,Far West,2012/2013,41.6
Females,Far West,2013/2014,32.2
Females,Far West,2014/2015,27.8
Females,Far West,2015/2016,25.8
Females,Far West,2016/2017,18.9
Females,Far West,2017/2018,20.7
Females,Far West,2018/2019,28.1
Females,Far West,2019/2020,36.3
Females,Far West,2020/2021,27.5
