financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children],"copd deaths [f] [rate per 100,000]","copd deaths [m] [rate per 100,000]","copd hospitalisations [f] [rate per 100,000]","copd hospitalisations [m] [rate per 100,000]","iap deaths [f] [rate per 100,000]","iap deaths [m] [rate per 100,000]","iap hospitalisations [f] [rate per 100,000]","iap hospitalisations [m] [rate per 100,000]"
2008/2009,Far West,,,,,,,,,,154.8,186.3,10.8,,,348.4,453.8,,,,
2009/2010,Far West,,,,,,,,,,67.2,234.8,11.95,,,300.5,435.5,,,,
2010/2011,Far West,,,,,,,,,,177.5,178.1,15.8,,,284.3,588.0,,,,
2011/2012,Far West,,,,,,,,,,236.6,196.2,19.450000000000003,30.9,38.5,376.8,614.3,,,,
2012/2013,Far West,,,,,,,,,,272.1,211.7,19.05,41.6,56.2,409.2,489.5,,,,
2013/2014,Far West,,,,,,,,,,284.6,190.4,15.7,32.2,49.0,322.5,463.7,,,,
2014/2015,Far West,,,,,,,,771.9,603.0,202.4,224.7,14.6,27.8,59.1,436.0,536.3,,,,
2015/2016,Far West,,,,,,,,805.8,840.8,246.4,201.5,14.45,25.8,60.6,362.6,582.4,,,,
2016/2017,Far West,,,,,,,,897.8,857.9,234.9,175.6,13.65,18.9,46.1,364.2,592.3,,,,
2017/2018,Far West,,,,,,,,788.2,572.8,198.2,115.4,12.1,20.7,52.7,450.9,542.7,,,,
2018/2019,Far West,,,,,,,,884.7,787.1,230.0,149.4,,28.1,50.2,408.0,564.4,,,,
2019/2020,Far West,,,,,,,,692.3,459.6,127.6,186.5,,36.3,56.6,413.9,455.7,,,,
2020/2021,Far West,,,,,,,,592.1,350.1,153.4,81.5,,27.5,54.9,242.2,476.2,,,,
2021/2022,Far West,,,,,,,,689.7,349.1,104.2,36.6,,,,191.5,394.4,,,,
2022/2023,Far West,,,,,,,,963.7,632.8,,,,,,,,,,,
2000/2001,Hunter New England,0.225,0.6428652165776647,0.7335377435851258,1.9098001217532468,22.29196901087179,0.1607049594756754,,,,,,,,,,,,,,
2001/2002,Hunter New England,0.2375,0.7029829099687395,0.7572918904507835,1.8582126506586936,22.52887650058792,0.1591190294137902,,,,177.0,176.9,,,,210.8,319.9,,,249.6,354.7
2002/2003,Hunter New England,0.3,0.7904671350428927,0.8066092863509131,1.8467532467532468,22.43801857002781,0.1803211279539363,,,,169.6,152.4,,,,212.2,323.3,,,277.4,355.9
2003/2004,Hunter New England,0.26,0.7507845953603528,0.7788315085731353,1.9074675324675323,23.24604706444445,0.178535413668222,,,,154.5,142.6,16.75,,,207.4,312.4,,,273.1,362.9
2004/2005,Hunter New England,0.1571428571428571,0.6339843657953216,0.7232547076405496,1.9088165450941657,22.990679695112515,0.1704673494860273,,,,164.6,146.6,16.450000000000003,,,199.7,283.1,,,272.5,371.9
2005/2006,Hunter New England,0.125,0.6210226905984482,0.7288315085731354,2.001069793515837,22.412404014771752,0.1573280086878812,,,,138.4,146.7,15.45,,,188.4,311.4,,,238.6,326.1
2006/2007,Hunter New England,0.1899999999999999,0.6614549183247189,0.7384902885107493,1.8519488402784263,22.74627553319044,0.1590391203529967,,,,165.6,154.6,15.35,,,193.0,290.8,,,227.3,330.3
2007/2008,Hunter New England,0.285,0.6719073844506311,0.723766406627477,1.7520657467532468,21.93015256532051,0.168238083956448,,,,161.3,150.7,15.55,,,226.4,318.8,,,265.7,330.7
2008/2009,Hunter New England,,,,,,,,,,153.7,148.4,15.9,,,212.0,303.9,,,229.7,323.1
2009/2010,Hunter New England,0.2299999999999999,0.6981139453512999,0.7519831773521806,1.7780032467532467,22.09320485992839,0.1678207094178082,,,,161.4,146.1,16.4,,,234.3,291.8,,,248.2,316.6
2010/2011,Hunter New England,0.1028571428571428,0.6416591200751818,0.7414424084463926,1.8624007287676352,20.400753263905365,0.1618901122743771,,,,133.1,134.5,17.049999999999997,,,232.5,308.6,,,270.2,321.5
2011/2012,Hunter New England,0.08,0.5873051730809307,0.7152583353999622,1.8767532467532468,20.421161427170677,0.1754476744062311,0.55,,,142.0,144.4,16.7,19.1,34.3,232.0,323.0,7.8,11.3,262.0,358.1
2012/2013,Hunter New England,0.0666666666666666,0.5946004407186571,0.7408181644305137,1.934782823092176,23.55690187719684,0.155752172983756,0.575,,,148.3,138.8,15.45,21.9,34.8,248.6,291.6,8.5,10.7,228.4,305.2
2013/2014,Hunter New England,0.1222222222222222,0.6680271915022297,0.7740818956508606,1.849034992784993,22.375150555061868,0.1618044844192791,0.6499999999999999,,,147.5,144.2,15.4,25.2,33.8,228.4,277.4,8.8,11.1,240.5,325.8
2014/2015,Hunter New England,0.2466666666666667,0.4651146384479718,0.7071880036792318,1.9911976911976912,22.876567124024756,0.1555675287356321,0.825,455.6,445.5,146.7,136.0,16.3,25.4,33.9,239.3,279.4,8.3,11.3,317.4,391.0
2015/2016,Hunter New England,0.3777777777777777,0.564935064935065,0.7265512265512266,1.843975468975469,22.83650793650794,0.1708333333333333,1.025,475.9,459.5,162.3,158.5,17.35,25.3,35.0,235.0,293.3,8.3,8.6,312.2,398.7
2016/2017,Hunter New England,0.15,0.5104906204906206,0.6976623376623377,1.9417532467532468,22.41857142857143,0.19,1.05,505.5,495.8,184.6,174.9,17.1,25.4,38.9,256.4,316.8,11.8,12.5,344.5,395.7
2017/2018,Hunter New England,0.2571428571428572,0.4666750181035895,0.6665343011207673,2.0507884972170687,24.89387755102041,0.1696428571428571,0.975,430.7,437.2,157.7,163.6,16.549999999999997,23.5,37.2,256.1,284.2,11.4,14.3,398.8,462.5
2018/2019,Hunter New England,0.275,0.3833333333333333,0.5583333333333333,2.125,25.539285714285715,0.165625,0.875,465.9,423.3,167.0,169.8,,24.6,32.6,240.1,258.6,9.9,10.4,341.7,420.0
2019/2020,Hunter New England,0.2,0.9103228228228228,0.8210960960960961,1.4625,20.114285714285717,0.1580658783783783,0.8,470.1,407.8,144.2,154.7,,24.1,30.4,217.0,244.2,7.6,7.3,325.8,381.6
2020/2021,Hunter New England,0.2,0.55,0.5583333333333333,1.9,21.839285714285715,0.13125,0.8,400.2,366.0,110.6,115.6,,22.4,28.6,147.5,179.3,4.6,5.8,193.2,257.9
2021/2022,Hunter New England,,,,,,,,398.0,367.1,87.2,96.3,,,,150.0,172.1,,,,
2022/2023,Hunter New England,,,,,,,,410.6,416.7,,,,,,,,,,,
2023/2024,Hunter New England,0.2,0.6232490842490843,0.5740704110704111,1.7,20.91428571428571,0.1333512931034483,,,,,,,,,,,,,,
2000/2001,Illawarra Shoalhaven,0.225,0.525,0.7875,1.85,20.091234439834025,0.125,,,,,,,,,,,,,,
2001/2002,Illawarra Shoalhaven,0.25,0.58125,0.80625,1.8736111111111111,19.334984439834024,0.1106564748201438,,,,103.6,121.4,,,,190.9,301.5,,,198.4,286.8
2002/2003,Illawarra Shoalhaven,0.4,1.275,1.075,1.825,18.953734439834022,0.1,,,,121.0,105.1,,,,203.6,291.2,,,179.1,251.4
2003/2004,Illawarra Shoalhaven,0.2905257936507937,0.65,0.8428571428571429,1.9357142857142855,18.696591582691163,0.1142857142857143,,,,121.2,109.9,14.4,,,220.2,325.9,,,214.2,252.2
2004/2005,Illawarra Shoalhaven,0.2857142857142857,0.4357142857142856,0.65,1.957142857142857,18.107142857142858,0.1,,,,131.4,125.4,13.6,,,203.5,287.4,,,225.6,293.5
2005/2006,Illawarra Shoalhaven,0.225,0.3875,0.6625,2.0375,19.6375,0.1,,,,126.2,122.0,14.8,,,202.8,226.4,,,221.3,280.3
2006/2007,Illawarra Shoalhaven,0.2556134259259259,0.4924404761904761,0.6827380952380953,1.794043528064147,20.991666666666667,0.1308752997601918,,,,148.1,160.2,16.299999999999997,,,199.4,250.5,,,186.3,259.6
2007/2008,Illawarra Shoalhaven,0.1917100694444444,0.46875,0.60625,1.75625,18.23571120689655,0.0588129496402877,,,,147.9,176.2,16.299999999999997,,,194.9,251.1,,,196.6,282.5
2008/2009,Illawarra Shoalhaven,,,,,,,,,,139.9,149.7,14.75,,,198.6,275.6,,,247.5,335.6
2009/2010,Illawarra Shoalhaven,0.3334201388888889,0.5610988768298839,0.6586036092882382,1.925,16.7,0.075,,,,144.3,153.9,14.15,,,234.9,284.0,,,264.3,328.7
2010/2011,Illawarra Shoalhaven,0.3142857142857143,0.3285714285714285,0.5857142857142856,1.9785714285714289,15.864285714285714,0.0693216855087358,,,,146.2,145.2,14.9,,,222.0,314.8,,,249.2,294.4
2011/2012,Illawarra Shoalhaven,0.2799999999999999,0.2799999999999999,0.6300000000000001,1.96,16.45,0.08,0.7,,,131.9,122.3,15.25,20.3,34.0,229.9,302.3,8.6,7.9,254.5,305.1
2012/2013,Illawarra Shoalhaven,0.2,0.3282936507936507,0.6551587301587302,1.8111111111111111,20.577777777777776,0.0666666666666666,0.725,,,111.9,115.3,14.3,20.5,33.5,235.7,270.9,7.8,7.5,268.7,331.6
2013/2014,Illawarra Shoalhaven,0.2,0.350515873015873,0.6496031746031746,1.933333333333333,17.183333333333334,0.0872501998401279,0.7,,,123.3,112.8,12.55,23.6,36.2,229.4,321.7,7.6,7.9,259.5,345.0
2014/2015,Illawarra Shoalhaven,0.2,0.2555555555555555,0.5555555555555556,2.0277777777777777,18.22777777777777,0.0888888888888888,0.65,410.1,383.6,128.8,102.6,11.85,25.1,34.7,248.2,270.3,8.2,7.3,313.6,387.5
2015/2016,Illawarra Shoalhaven,0.2111111111111111,0.3388888888888889,0.6333333333333333,1.893827160493827,19.08888888888889,0.0761390887290168,0.7,458.7,392.5,156.7,116.5,11.65,24.9,34.7,233.0,245.4,7.5,9.0,296.9,350.1
2016/2017,Illawarra Shoalhaven,0.2,0.26,0.5,2.025,19.41,0.0785251798561151,0.75,456.8,381.6,155.7,118.6,11.05,27.3,34.2,242.9,256.0,9.4,12.5,280.5,349.8
