financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm
2018/2019,Hunter New England,0.275,0.38333333333333336,0.5583333333333333,2.125,25.539285714285715,0.16562500000000002
2019/2020,Hunter New England,0.2,0.9103228228228228,0.8210960960960961,1.4625,20.114285714285714,0.15806587837837838
2020/2021,Hunter New England,0.2,0.55,0.5583333333333333,1.9,21.839285714285715,0.13125
2023/2024,Hunter New England,0.2,0.6232490842490843,0.5740704110704111,1.7,20.91428571428571,0.1333512931034483
2000/2001,Illawarra Shoalhaven,0.225,0.525,0.7875,1.85,20.091234439834025,0.125
2001/2002,Illawarra Shoalhaven,0.25,0.58125,0.80625,1.8736111111111111,19.334984439834024,0.11065647482014389
2002/2003,Illawarra Shoalhaven,0.4,1.275,1.075,1.8250000000000002,18.953734439834022,0.1
2003/2004,Illawarra Shoalhaven,0.2905257936507937,0.65,0.8428571428571429,1.9357142857142857,18.696591582691163,0.1142857142857143
2004/2005,Illawarra Shoalhaven,0.2857142857142857,0.43571428571428567,0.65,1.957142857142857,18.107142857142858,0.1
2005/2006,Illawarra Shoalhaven,0.225,0.3875,0.6625,2.0375,19.6375,0.1
2006/2007,Illawarra Shoalhaven,0.2556134259259259,0.49244047619047615,0.6827380952380953,1.7940435280641467,20.991666666666667,0.13087529976019185
2007/2008,Illawarra Shoalhaven,0.19171006944444446,0.46875,0.60625,1.75625,18.23571120689655,0.05881294964028777
2009/2010,Illawarra Shoalhaven,0.3334201388888889,0.5610988768298839,0.6586036092882382,1.9249999999999998,16.7,0.07500000000000001
2010/2011,Illawarra Shoalhaven,0.31428571428571433,0.32857142857142857,0.5857142857142856,1.9785714285714289,15.864285714285714,0.06932168550873587
2011/2012,Illawarra Shoalhaven,0.27999999999999997,0.27999999999999997,0.6300000000000001,1.9600000000000002,16.45,0.08
2012/2013,Illawarra Shoalhaven,0.2,0.32829365079365075,0.6551587301587302,1.8111111111111111,20.577777777777776,0.06666666666666668
2013/2014,Illawarra Shoalhaven,0.2,0.350515873015873,0.6496031746031746,1.9333333333333331,17.183333333333334,0.0872501998401279
2014/2015,Illawarra Shoalhaven,0.2,0.25555555555555554,0.5555555555555556,2.0277777777777777,18.227777777777774,0.08888888888888889
2015/2016,Illawarra Shoalhaven,0.21111111111111114,0.3388888888888889,0.6333333333333333,1.893827160493827,19.08888888888889,0.0761390887290168
2016/2017,Illawarra Shoalhaven,0.2,0.26,0.5,2.025,19.41,0.07852517985611511
2017/2018,Illawarra Shoalhaven,0.15714285714285717,0.25,0.4714285714285714,2.130608738340697,21.107142857142858,0.08571428571428573
2018/2019,Illawarra Shoalhaven,0.2,0.27371908127208483,0.5234982332155477,2.025,22.7,0.1
2019/2020,Illawarra Shoalhaven,0.1,0.3,0.6000000000000001,1.725,15.1,0.0
2020/2021,Illawarra Shoalhaven,0.2,0.2625,0.4625,1.8875000000000002,22.125,0.07500000000000001
2023/2024,Illawarra Shoalhaven,0.15000000000000002,0.3,0.6,1.625,21.299999999999997,0.1
2000/2001,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2001/2002,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2002/2003,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2003/2004,Mid North Coast,,0.12666666666666665,0.2883333333333334,1.569491525423729,,0.045000000000000005
2004/2005,Mid North Coast,,0.12666666666666665,0.2883333333333334,1.569491525423729,,0.045000000000000005
2005/2006,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2006/2007,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2007/2008,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2009/2010,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2010/2011,Mid North Coast,,0.12666666666666665,0.2883333333333334,1.569491525423729,,0.045000000000000005
2011/2012,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2012/2013,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2013/2014,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2014/2015,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2015/2016,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2016/2017,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.569491525423729,,0.045000000000000005
2017/2018,Mid North Coast,,0.12666666666666665,0.2883333333333334,1.569491525423729,,0.045000000000000005
2018/2019,Mid North Coast,,0.16999999999999998,0.24125,1.6271186440677967,,0.008750000000000003
2019/2020,Mid North Coast,,0.1,0.3,1.75,,0.0
2020/2021,Mid North Coast,,0.125,0.30000000000000004,1.725,,0.0
2023/2024,Mid North Coast,,0.12666666666666665,0.28833333333333333,1.2999999999999998,,0.0
2000/2001,Murrumbidgee,,0.11267605633802816,0.3544600938967136,1.93302752293578,24.18018018018018,0.06511627906976745
2001/2002,Murrumbidgee,,0.11267605633802816,0.3544600938967136,1.93302752293578,21.92252252252252,0.06511627906976745
2002/2003,Murrumbidgee,,0.11267605633802816,0.3544600938967136,1.93302752293578,27.55,0.06511627906976745
2003/2004,Murrumbidgee,,0.11267605633802816,0.3544600938967136,1.9330275229357798,23.385714285714283,0.06511627906976745
2004/2005,Murrumbidgee,,0.11267605633802816,0.3544600938967136,1.9330275229357798,21.33719433719434,0.06511627906976745
2005/2006,Murrumbidgee,,0.11267605633802816,0.3544600938967136,1.93302752293578,20.8,0.06511627906976745
2006/2007,Murrumbidgee,,0.16666666666666666,0.43333333333333335,1.9666666666666668,33.61666666666667,0.10000000000000002
2007/2008,Murrumbidgee,,0.12658450704225352,0.3818075117370892,1.9375,25.83502252252252,0.04127906976744186
2009/2010,Murrumbidgee,,0.1,0.2,2.15,18.425,0.025
2010/2011,Murrumbidgee,,0.17142857142857146,0.18571428571428572,1.842857142857143,13.857142857142858,0.023588039867109636
2011/2012,Murrumbidgee,,0.20253521126760562,0.23089201877934276,1.8800000000000001,24.18018018018018,0.06000000000000001
2012/2013,Murrumbidgee,,0.1,0.41111111111111115,1.911111111111111,24.18018018018018,0.07777777777777778
2013/2014,Murrumbidgee,,0.011111111111111112,0.43333333333333335,2.1222222222222222,24.18018018018018,0.08888888888888889
2014/2015,Murrumbidgee,,0.0,0.3222222222222222,2.092558613659531,24.18018018018018,0.05555555555555555
2015/2016,Murrumbidgee,,0.05555555555555555,0.3888888888888889,1.9444444444444444,24.18018018018018,0.08888888888888889
2016/2017,Murrumbidgee,,0.05,0.33999999999999997,2.0300000000000002,24.18018018018018,0.06000000000000001
2017/2018,Murrumbidgee,,0.08571428571428573,0.34285714285714286,2.0428571428571427,24.18018018018018,0.08571428571428573
2018/2019,Murrumbidgee,,0.1,0.375,1.925,24.18018018018018,0.125
2019/2020,Murrumbidgee,,0.1,0.3,1.7,24.18018018018018,0.0
2020/2021,Murrumbidgee,,0.1,0.3,1.925,24.18018018018018,0.05
2023/2024,Murrumbidgee,,0.1,0.4,1.6,24.18018018018018,0.1
2000/2001,Nepean Blue Mountains,,0.24375000000000002,0.66875,1.975,17.033688210415015,0.06917453796855205
2001/2002,Nepean Blue Mountains,,0.3125,0.6375,1.8762412891986062,16.395737179487178,0.037500000000000006
2002/2003,Nepean Blue Mountains,,0.525,0.8,1.8,15.95,0.05
2003/2004,Nepean Blue Mountains,,0.35714285714285715,0.7214285714285714,1.8928571428571428,18.45941391941392,0.021428571428571432
2004/2005,Nepean Blue Mountains,,0.18568239795918368,0.5752049927113703,2.1300217548948512,16.085714285714285,0.07350718065003779
