year-month,lhd,NO pphm,NO2 pphm,OZONE pphm,asthma edp
2020-09,Murrumbidgee,0.1640095929371523,0.5073470631249719,1.9964128425387857,28.3
2020-10,Murrumbidgee,0.1341451320290662,0.301459147583081,2.099373622226308,87.2
2020-11,Murrumbidgee,0.1245313130070109,0.3250208181010259,2.225737219069725,56.9
2020-12,Murrumbidgee,0.0562182291281617,0.2583239152055029,2.05,47.4
2021-01,Murrumbidgee,0.1145434157041357,0.2428872441189856,2.0,25.1
2021-02,Murrumbidgee,0.077912433008195,0.1810160373213863,1.8,34.4
2021-03,Murrumbidgee,0.0641797427988088,0.1603221014838263,1.7,42.8
2021-04,Murrumbidgee,0.2208968447461863,0.4996306442681409,1.55,46.8
2021-05,Murrumbidgee,0.3153450783184149,0.3295896004445983,1.4493516724536517,47.2
2021-06,Murrumbidgee,0.4241901618709871,0.3700282486557736,1.3351419460584792,49.2
2021-07,Murrumbidgee,0.3674468433063467,0.3620936716143769,1.603743447985179,30.7
2021-08,Murrumbidgee,0.1944981973391006,0.334940392630745,1.8518562059161083,49.5
2021-09,Murrumbidgee,0.1687596663378699,0.2532275729904101,2.035481705765539,28.0
2021-10,Murrumbidgee,0.05,0.25,2.2,49.4
2021-11,Murrumbidgee,0.05,0.25,1.95,51.3
2021-12,Murrumbidgee,0.05,0.25,2.0,49.8
2022-01,Murrumbidgee,0.05,0.1,1.7999999999999998,26.7
2022-02,Murrumbidgee,0.1,0.2,1.8,28.2
2022-03,Murrumbidgee,0.1,0.2,1.7383639452461177,35.9
2022-04,Murrumbidgee,0.15,0.35,1.6,52.8
2022-05,Murrumbidgee,0.2916556351141431,0.3788633674948398,1.4839166545754248,72.2
2022-06,Murrumbidgee,0.2748628136445891,0.2775049868411053,1.5849138408100083,50.8
2022-07,Murrumbidgee,0.2967366010184528,0.2918139457980113,1.8775181280250128,55.4
2022-08,Murrumbidgee,0.1913643468417164,0.3054689029477931,1.8164541734695383,69.5
2022-09,Murrumbidgee,0.1288189274946788,0.3533878020645575,1.978955327397398,74.6
2022-10,Murrumbidgee,0.1,0.2,2.0,91.7
2022-11,Murrumbidgee,0.05,0.2,1.9,83.5
2022-12,Murrumbidgee,0.05,0.2,1.95,49.2
2023-01,Murrumbidgee,0.05,0.25,1.95,41.1
2023-02,Murrumbidgee,0.1,0.3,2.0,38.6
2023-03,Murrumbidgee,0.1,0.35,1.8,39.7
2023-04,Murrumbidgee,0.15,0.4,1.6262422371879546,53.1
2023-05,Murrumbidgee,0.4,0.45,1.55,62.2
2023-06,Murrumbidgee,0.3,0.4,1.5499999999999998,49.1
2023-07,Murrumbidgee,0.4499999999999999,0.4499999999999999,1.5,48.43846153846154
2023-08,Murrumbidgee,0.3,0.4499999999999999,1.6,47.77692307692308
2023-09,Murrumbidgee,0.1365804292548018,0.649630644268141,2.1,47.11538461538461
2023-10,Murrumbidgee,0.1646553710352765,0.3879944716690738,2.3429395081720923,46.45384615384616
2023-11,Murrumbidgee,0.0665877669288497,0.3274836875302321,2.246448643304035,45.792307692307695
2023-12,Murrumbidgee,0.0,0.2,2.450157565656041,45.13076923076923
2024-01,Murrumbidgee,0.05,0.25,2.081172203917089,44.46923076923077
2024-02,Murrumbidgee,0.05,0.25,2.1,43.80769230769231
2024-03,Murrumbidgee,0.1,0.4,1.949893280349454,43.14615384615384
2024-04,Murrumbidgee,0.15,0.45,1.65,42.48461538461538
2024-05,Murrumbidgee,0.4,0.45,1.5,41.823076923076925
2024-06,Murrumbidgee,0.35,0.35,1.619233678236886,41.16153846153846
2014-07,Nepean Blue Mountains,0.409856014440743,0.5337380752162952,1.7956593890590833,40.5
2014-08,Nepean Blue Mountains,0.268542669705669,0.5325807810116197,1.9254077329333124,37.6
2014-09,Nepean Blue Mountains,0.1440379895809167,0.4614359683229888,2.158220098906734,40.9
2014-10,Nepean Blue Mountains,0.1039017783124228,0.3595044024526044,2.4519761447349406,33.3
2014-11,Nepean Blue Mountains,0.0610546650268063,0.3999466391878884,2.718346436025529,27.9
2014-12,Nepean Blue Mountains,0.0283836221982486,0.301893390039489,2.3126251920363443,31.1
2015-01,Nepean Blue Mountains,0.0,0.29169659736608,2.1257275216625686,22.8
2015-02,Nepean Blue Mountains,0.0776343985034361,0.3246442165646066,1.9504955072569972,31.3
2015-03,Nepean Blue Mountains,0.1781581238096749,0.5414213267141176,2.096011144164387,32.9
2015-04,Nepean Blue Mountains,0.1895108824791957,0.4319637330819218,1.6743665993399564,33.8
2015-05,Nepean Blue Mountains,0.416581804499172,0.4951582593107735,1.4952165171571816,42.0
2015-06,Nepean Blue Mountains,0.6470373386870185,0.6133484301275555,1.231066440502739,39.9
2015-07,Nepean Blue Mountains,0.5051849540109842,0.5706677304643303,1.5067044962911365,34.3
2015-08,Nepean Blue Mountains,0.2321488854335591,0.5331203203854347,1.8618805631993776,41.5
2015-09,Nepean Blue Mountains,0.1240182850702692,0.4494814618914386,2.050071473022218,27.7
2015-10,Nepean Blue Mountains,0.1060347224410888,0.3978687936708991,2.432848473566642,32.2
2015-11,Nepean Blue Mountains,0.0764044698961096,0.3227360515122676,2.41010032053345,26.0
2015-12,Nepean Blue Mountains,0.0902574352615802,0.3875863027092711,2.175611931275143,18.8
2016-01,Nepean Blue Mountains,0.0612289969029959,0.329109541547697,2.02341307301196,23.4
2016-02,Nepean Blue Mountains,0.1339939878784198,0.3503712141284563,2.1123579713858254,46.2
2016-03,Nepean Blue Mountains,0.1431110917154211,0.3582516890112167,1.9519861546791215,31.3
